email,hash,sum,hw01,hw02,xgboost_params,gb_impl,logistic_regression,ad_budget,text_classification_params,significance
se***************1,5e24a92188c9e8534b6597689048c372,10.72,1.0,2.83,1.0,1.013,2.33,1.06,1.0,0.49
za****v,97292fb8b09c8d42e48bba7e6d289135,10.7,1.0,2.83,1.02,1.003,2.43,0.84,1.06,0.52
ar********n,384a3d15811b6427b47331ff7655bb67,10.66,1.0,2.83,1.0,1.022,2.35,0.97,1.0,0.49
pa****l,12ebd028093a1d4814d247bf9bfec70f,10.56,1.0,2.83,1.0,1.013,2.17,1.06,1.0,0.49
d.*******y,87341009e3e65887a315952aef3cce9d,10.22,1.0,2.66,1.01,1.012,2.3,1.15,1.04,0.05
pa*****2,aa23231705397b774b6ca503841a3905,10.01,1.0,2.91,1.02,1.019,2.25,0.44,0.88,0.49
ed*****8,d6b15a06ce2d9bbd9c505a1d4deace0e,9.96,1.0,3.0,1.01,1.002,2.33,0.12,,1.5
ma****8,fa1b778b2242319739278ae63f063707,9.71,1.0,2.83,,0.988,2.34,0.97,1.09,0.49
ir*******a,225791f8bafa53e61db9bf6a070745f2,9.65,1.0,2.91,0.99,1.02,2.44,0.05,0.72,0.52
sh******l,59a01aa97a78fff3d641028965f455ce,9.6,1.0,3.0,1.01,1.006,2.37,0.06,1.1,0.05
ge**********v,a35551b263c8214d7c333693d68a42f5,9.55,1.0,2.66,0.97,0.963,2.31,0.16,1.0,0.49
ig***********v,e18a274fb82e6e1162141a39733d7f48,9.48,1.0,2.14,1.01,1.016,2.14,1.15,0.97,0.05
sa*********y,4cc1b9d23906107c35d785b444e48d21,9.42,1.0,2.66,1.04,0.98,2.43,0.27,1.04,
ma*****a,aaee3d8c2e6c973b7fb72bb43643947e,9.31,1.0,2.31,1.0,0.931,2.34,0.61,1.07,0.05
em********v,3bc2f2fbaad8c6922f13a7078dd49fdc,9.25,1.0,3.0,1.01,1.002,2.21,,1.03,
su************a,5bee9dae596f234ab3a5e69bb03764cf,9.16,1.0,2.66,1.03,1.01,2.4,0.05,1.01,
ko********0,0b1b138ea0e2394b39afa3b3212daf8f,9.16,1.0,2.66,1.03,1.01,2.4,0.05,1.01,
ty***l,1bf7477784f5530859dcb5b9ccf89f36,9.1,1.0,1.97,0.95,1.006,2.38,0.36,0.94,0.49
al************v,6eeb430dd2de32657bc558f34013dcbd,9.06,1.0,2.57,1.0,0.025,2.36,1.09,1.02,
kh*****v,2f06853bdafec794ff523ad1def87821,8.93,1.0,3.0,,0.995,2.32,0.55,1.01,0.05
za******l,1fdbb2219295066235ffb97fe6875a21,8.9,1.0,2.31,1.01,1.003,1.69,0.4,1.07,0.42
kv**l,2caece72f07b93ec3bf35817cd8f722e,8.84,1.0,2.06,1.01,1.004,2.39,0.89,,0.49
al*****h,35574fc0767d9d83a5f3cfbdeef89ddf,8.61,1.0,3.0,1.01,1.01,2.05,0.05,,0.49
se*******7,da1cb950458fbcbdbc91bf41d2e520f1,8.47,1.0,1.97,0.94,1.014,2.44,0.05,1.06,
al*********v,1939ef064a27ff6c965c65b864438ef0,8.35,1.0,2.83,0.99,0.982,1.13,0.13,0.8,0.49
vf*****p,57bd791460a76672b193f1fefd2a668f,8.31,1.0,2.91,,1.015,2.4,,0.94,0.05
as****l,dcd504ab4adcf4381c0a82964e0e0d92,7.93,1.0,2.83,1.0,0.423,1.59,0.05,1.04,
hi*******s,10e47780c51ddf8cd49275f767ed66d3,7.76,1.0,2.31,0.89,0.964,1.62,0.12,0.81,0.05
od*******n,3698d49764b9b1da235d11bab8982321,7.57,1.0,2.14,1.05,,2.37,,0.96,0.05
p.*******v,41a454ae8599c0b5f9e294beb3d38e97,7.43,1.0,2.31,0.74,,2.38,0.05,0.9,0.05
fi***********v,934117d82373ab32f5e5bf0e5e757310,7.36,1.0,2.83,1.01,1.009,0.05,0.39,1.07,
ro*******o,5bc055d999f6f9ada6ca7af1808af2bc,7.22,1.0,1.97,1.0,0.994,0.05,0.07,0.94,1.2
iv***********v,e4ff56287080adf82462ce6f94831a2c,7.01,1.0,2.83,1.0,0.483,0.81,0.05,0.79,0.05
va****1,c68e258a7174369605376d020c780278,7.0,1.0,0.0,1.01,0.987,2.35,0.24,0.92,0.49
be********a,40d8bbc7c231f0b8378fa24f7f31309d,6.92,1.0,2.66,0.99,1.015,0.25,0.05,0.9,0.05
er*************a,68abc820c9ba790294dc6cceff1ced6e,6.86,1.0,1.71,0.99,1.01,,,0.9,1.25
ni****n,2357dac9e5023326ddfd24db83fdfcca,6.73,1.0,2.91,1.0,1.01,,,0.81,
st*********v,2903622503b9d6aa5978ed1f4878b157,6.7,1.0,3.0,,,1.8,0.05,0.8,0.05
so******t,a496c510dd8641cb44aa503932a4c63b,6.54,,2.06,0.94,0.939,1.67,0.12,0.81,
ku**************y,4b9a71d89e8df47dd33f5d089d390a14,6.49,1.0,2.06,0.88,,1.62,0.12,0.81,
ma**********s,5538d81d692994b29aa65e5fa592e647,6.1,,1.46,0.96,0.986,2.2,,,0.49
al***********l,25f37bdfed14371bd2dcbec995732c25,5.96,1.0,2.74,1.01,,,0.05,0.67,0.49
mu*************v,aa72049740fbf5459425ca9a109ee489,5.91,1.0,2.91,0.96,0.994,,,,0.05
ah**p,ef885f275bb9ee69af4da390ba1a0991,5.87,1.0,2.91,0.98,0.984,,,,
am****h,8cfbfce29f17fad908852d87e8ecc181,5.71,1.0,1.63,0.98,0.986,0.05,0.05,0.52,0.49
am****s,26212707b9c822f5e4ca3d5925cb8408,5.61,,2.57,1.0,0.997,0.19,0.05,0.8,
m_*****a,3d7611d7cab4df9757c49e969cb2a521,5.59,1.0,2.4,0.96,0.977,0.15,0.05,,0.05
al*****************5,143c37fc67c7b42827e37c67b87aa253,5.56,1.0,1.71,0.99,1.01,0.05,0.12,0.63,0.05
se****5,36e52aebe380ac03f28a5ac281f0be74,5.31,1.0,2.57,,0.423,0.07,0.05,0.71,0.49
vl**************v,dd2101a9f67187fbba4e95079ff41e61,5.22,1.0,1.54,1.01,,0.15,0.48,0.55,0.49
ar********n,9f790b311072a2d1e9a40e0cd9f4c8af,5.19,1.0,1.71,0.99,1.002,,,,0.49
ls******n,4bda6deafee79cf7adddafb3e7dd1bfb,5.1,1.0,0.94,1.01,1.014,,1.09,,0.05
ge*********k,d226f31b1ef5eb9576476b51357656ce,4.89,1.0,1.46,,0.993,,0.08,0.64,0.72
gw****r,0f8a186a8e8cb12bf2d0762dc60da6b0,4.87,1.0,1.97,0.99,0.911,,,,
da*****1,16c05dbb3756ad0120fcb27c1f74e1bb,4.78,1.0,1.97,0.96,0.371,,,0.43,0.05
ko*****a,929facf60ffc3cb29185ba44b374cb79,3.97,1.0,1.03,1.01,0.934,,,,
ro**********n,ed41a11c4a838dfa425760ec0b8e537c,3.91,1.0,2.91,,,,,,
da*****7,f925efa50b15a4948d8bbbb0d2b31dd8,3.74,1.0,2.74,,,,,,
ka****o,84f3d74529af141ada78804e92aeaeae,3.66,1.0,2.66,,,,,,
je******l,721be2e41153b7c2432cc6dc1fe7f8f0,3.62,1.0,1.63,0.99,,,,,
mu******f,09c7f38c70f2615619b35cfeec1c7d51,3.62,1.0,,0.98,0.963,0.46,,0.22,
li****v,ff06cb143cbeffc4348fdbd70a2b19ad,3.49,1.0,2.49,,,,,,
me******9,4e5df9f01fd16eac2c77076ba6256385,3.39,1.0,1.46,0.93,,,,,
nu******6,e464b5c10029fa0ea6d3cea095a288a8,3.22,,,0.87,0.9,0.67,,0.29,0.49
de****************v,cf66a1745e58542af0a1d72fdf423203,3.01,,1.37,,0.989,0.05,0.12,0.48,
is********a,c5660aa48ba2b6f0d409260e06ac880e,3.0,,3.0,,,,,,
mi********m,da78cc4277718dbc0c36100b4ad6dd7f,2.97,1.0,1.97,,,,,,
hr*****1,959fae08c321b6bbb430eff4410fc183,2.89,1.0,1.89,,,,,,
al*********v,b6c0acdd51fd0ac213c0ce9538ac2975,2.86,1.0,,0.91,0.951,,,,
al*****************y,0175a906788599e6eb8cb33af63393fa,2.82,1.0,1.71,,,,0.11,,
si*********i,2faee81621d1ea2ea9762b3f5fb06394,2.71,1.0,1.71,,,,,,
ts*********r,08b1bc0924ea4cb19160157324ce3d46,2.71,1.0,1.71,,,,,,
ph********l,83f9a66123ee47cdabc6bbe596a5029d,2.71,1.0,1.71,,,,,,
sw*********o,831c62fee62dbf647ff4b2448272594e,2.63,1.0,1.63,,,,,,
an************v,325b5b8c06e43d4afb0683a0a2ba79b4,2.63,1.0,1.63,,,,,,
pe**********0,970105cc7a95468ee8e60b6abc5eb8ba,2.59,,,0.98,0.957,,,0.65,
na***u,6a962bc87aad66c77bac50f0b4abd311,2.46,1.0,1.46,,,,,,
az********a,07173c6b53f63d213ad55aa521a61fee,2.46,1.0,1.46,,,,,,
ib*****i,221faca698e76ea3f79c36d6a8ae8633,2.46,1.0,1.46,,,,,,
an***********o,ddf98ab13f8c05705b4901af0a9e31fa,2.46,1.0,1.46,,,,,,
bl***********0,503076b6b6b3d51c26e121b77c41f1df,2.46,1.0,1.46,,,,,,
ry*****9,890a7b33a32282c3c9170a13d5e53979,2.4,,2.4,,,,,,
gr*********k,66af56dd611111f3cd22ac93a367839a,2.4,,,,,2.4,,,
ty***t,12fbd62c550210f4d8d5b9a1f3668acc,2.4,,2.4,,,,,,
de***********3,b05dc0689fcca3831e2fb979f7b36dc9,2.37,1.0,1.37,,,,,,
vo************a,d4539e675e31643c30f5fdb1e5831562,2.37,1.0,1.37,,,,,,
pl*******e,5f5ba672a8fb600dc4a8111d63a8a175,2.37,1.0,1.37,,,,,,
al************v,2afd4f9d7ab1d4d5145b3b2c3708704d,2.37,1.0,1.37,,,,,,
sh******a,7f7a49cadd994d2eba2e353192a7481c,2.29,1.0,1.29,,,,,,
fr*************v,5178b4ca59fdc33a768ffe4f5f59dd8d,2.11,1.0,1.11,,,,,,
ib*********u,e051f9585978e0dc86a354e34a136bc3,2.03,1.0,1.03,,,,,,
fi********c,81f204d225366d3ff03b2b7c38a99273,1.77,1.0,0.77,,,,,,
pu*********a,14369598243fc624e08f73dbe6035932,1.77,1.0,0.77,,,,,,
co*****r,0108a2acd3900adcf0f5ef90a94ac5e8,1.72,,1.2,,,,,0.52,
so***********v,46be449a8216921386f47583461e1739,1.46,,1.46,,,,,,
pr************p,a35d3cf909b74e3c23e4d70cc8a7af43,1.46,,1.46,,,,,,
an************n,6a9d3ba4c35860c921221b5a8aab46a8,1.4,,0.94,,,,,0.46,
a.*******v,e03e232da921c3452951a63fd9be8248,1.29,,1.29,,,,,,
iv***v,4dfe6e220d16e7b633cfdd92bcc8050b,1.24,,,,,0.05,0.47,0.72,
mp*****y,a2ff37be334c657eb4bf6e2bd3949290,1.02,,,1.02,,,,,
de*******7,8f7824be06c1aec2bc2eb5cc0af0a904,1.0,1.0,,,,,,,
be*********d,9b75bf10d5ea72e5556f1d5afdbf37f2,1.0,1.0,,,,,,,
na********n,e46b1b512326088ea99b55404d5751c3,1.0,1.0,,,,,,,
dm****g,45c3f6c34e2fb3bf934237ea31abc292,1.0,1.0,,,,,,,
vi**********p,88fbeaaf3044ca35aeb9f3dbe6bceb7c,1.0,1.0,,,,,,,
ni*********a,2f4f1d0bf349767e8a88e4e6a42fd224,1.0,1.0,,,,,,,
iv*****t,87e6b1a020eab8056c362830679f95b9,1.0,1.0,,,,,,,
fi*****m,6f590cb9d0fd94201e6032ba86f77cb3,1.0,1.0,,,,,,,
da********7,c50f164da3b60ba18234087e13b7f412,1.0,1.0,,,,,,,
ol*********v,72ddb644da4534815663f33217027403,1.0,1.0,,,,,,,
cv*******y,bb86237fb18cc597a0d591574acdebc5,1.0,1.0,,,,,,,
fc******2,b23f06f541ff77f1aaac5494f5d9b4a6,1.0,1.0,,,,,,,
st****************o,68fa153c088e88110acdaeca9be0e658,0.94,,,0.94,,,,,
al***************h,0f233e95986b64ac31a01db0c2226dd7,0.92,,,,0.922,,,,
an************n,071c2786bf051bbe2add90ae41eb832f,0.91,,,0.91,,,,,
hw4,a7e9cdb33348af094e145d819dac660d,0.54,,,,,,,0.54,
al**********j,247f1ec1dd0932293bd1f6deb5b16d6b,0.49,,,,,,,,0.49
an***********4,f9263b5eddbb71047fbafb78e441ece9,0.34,,0.34,,,,,,
bu**********n,123d1b8c72c4c722c909c1d1d12a4589,0.34,,0.34,,,,,,
qm***r,d9054c28abf007da71fc176593dab327,0.26,,0.26,,,,,,
kh**********6,bfe59ca1d0d6015ed1150bc11fcb8402,0.0,0.0,,,,,,,
mr*******v,7e34794bf0702e1da18de3550e745456,0.0,0.0,,,,,,,
